-0.01,0.00,0.97,-0.16,1.21,0.35,49.90,0.75,-6.96,0.01,0.01,0.95,123.79,234.96,146.53,2490.90,20.07,1709.56,594,592,100,
0.00,0.02,0.97,-0.80,1.34,-0.01,50.22,0.86,-6.87,0.00,0.00,0.94,2.66,5.59,5.13,2522.42,26.54,1689.78,598,587,100,
0.02,0.01,0.97,-0.74,0.79,1.47,50.13,0.83,-6.91,0.00,0.00,0.94,1.59,4.71,4.59,2513.53,24.30,1688.83,595,595,100,
-0.05,0.05,0.96,-2.12,0.46,4.10,48.29,0.92,-6.79,0.01,0.01,0.93,170.97,98.96,430.39,2335.21,30.63,1620.85,593,591,100,
0.01,0.08,0.97,0.71,2.42,-1.37,52.07,1.23,-6.70,0.01,0.01,0.95,120.96,122.66,1007.58,2720.90,56.48,1596.72,596,582,100,
-0.05,0.04,0.96,-2.03,0.30,2.49,47.70,0.98,-6.83,0.01,0.01,0.95,210.68,156.90,1411.09,2284.45,36.26,1675.66,599,594,100,
-0.02,0.07,0.96,0.21,1.25,-2.78,54.49,1.80,-7.57,0.01,0.01,0.95,122.44,145.73,1006.02,2977.15,118.44,2065.64,600,582,100,
-0.01,0.04,0.97,-0.77,1.28,-0.32,54.16,1.66,-7.71,0.02,0.01,0.98,180.90,223.79,1133.65,2935.53,97.61,2079.87,591,592,100,
-0.02,0.13,0.95,-1.33,1.90,1.45,52.67,1.67,-7.40,0.01,0.02,0.94,210.57,138.17,689.98,2775.79,100.45,1962.63,598,588,100,
-0.01,0.05,0.96,0.06,1.40,-0.61,56.06,1.99,-7.59,0.01,0.01,0.95,167.19,179.84,540.93,3143.92,139.11,2007.79,596,584,101,
0.05,-0.12,0.96,-0.20,1.74,1.19,54.12,1.42,-7.95,0.01,0.02,0.94,139.17,106.26,187.13,2929.99,71.91,2232.71,594,590,100,
-0.00,-0.05,0.96,-1.47,0.18,-0.09,55.61,1.76,-7.97,0.01,0.01,0.94,97.30,129.83,458.10,3093.40,112.73,2289.55,600,591,100,
-0.07,0.04,0.96,-0.99,1.88,1.92,56.42,1.94,-7.96,0.02,0.01,0.96,152.22,181.34,638.53,3184.43,136.85,2268.54,598,593,100,
-0.08,0.01,0.96,-0.17,1.96,-0.27,55.54,1.67,-8.02,0.02,0.01,0.96,190.25,150.57,675.34,3086.25,100.40,2273.41,600,599,101,
-0.05,0.04,0.97,-0.83,1.53,-0.29,56.54,1.98,-8.10,0.02,0.01,0.96,176.80,164.63,871.37,3198.51,141.05,2321.99,601,594,101,
-0.02,-0.05,0.96,0.43,1.82,0.01,55.59,1.59,-8.25,0.02,0.02,0.95,221.76,154.82,607.87,3092.06,93.53,2429.11,597,587,100,
-0.10,0.04,0.96,-1.85,1.26,3.03,56.86,1.95,-8.39,0.02,0.01,0.95,163.57,185.15,676.55,3234.39,138.76,2505.55,602,587,101,
-0.04,0.03,0.97,-0.77,3.01,0.00,56.99,2.08,-8.16,0.02,0.01,0.96,158.48,157.86,1054.15,3248.99,156.01,2342.70,593,587,100,
-0.05,0.01,0.96,-0.07,0.92,-1.18,55.64,1.70,-8.24,0.02,0.01,0.96,193.49,152.13,1012.00,3097.73,103.79,2388.47,599,586,101,
